id,name,language,functions,functions_with_kw,keywords/global.json,keywords/nonlocal.json,keywords/globals.json,keywords/locals.json,keywords/inspect.json,keywords/import.json,keywords/from_import.json,keywords/builtins.json,parse_error
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20241002085714.py,python,18,0,0,0,0,0,0,0,0,0,84:5
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20241007143747.py,python,19,0,0,0,0,0,0,0,0,0,99:20
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20240930142826.py,python,6,0,0,0,0,0,0,0,0,0,36:17
324564777,projects/0/324564777-fd3be88c67d5f018c5d641468ed6063a7a5f891a/ShravyaRNadig-Python_Roboslog_Intern-fd3be88/Medium Clone Wbsite Using  Flask/article.py,python,1,0,0,0,0,0,0,0,0,0,9:9
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/Scrabble_20241021145527.py,python,87,0,0,0,0,0,0,0,0,0,1079:25
262744748,projects/0/262744748-dcea719f588cdaa7cba2676e02058405b9bc347d/Legedith-Danke_Schoen-dcea719/main.py,python,14,0,0,0,0,0,0,0,0,0,211:26
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20241002090552.py,python,19,0,0,0,0,0,0,0,0,0,86:12
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20241008083544.py,python,19,0,0,0,0,0,0,0,0,0,97:13
160894158,projects/0/160894158-bc60d1b59d5e51971cce505d130fa2862301601e/cms-lpc-llp-h-to-ss1ss2-madgraph-bc60d1b/mg5_amc_output/ppTohToSS1SS2_SS1Tobb_SS2Toveve/bin/internal/common_run_interface.py,python,147,17,0,0,0,0,0,15,3,0,2621:71
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/Scrabble_20241021154449.py,python,89,0,0,0,0,0,0,0,0,0,983:9
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20240930144058.py,python,10,0,0,0,0,0,0,0,0,0,53:5
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20241015084845.py,python,33,0,0,0,0,0,0,0,0,0,252:5
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20241002084259.py,python,16,0,0,0,0,0,0,0,0,0,83:17
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20241002085522.py,python,18,0,0,0,0,0,0,0,0,0,82:20
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20241010141333.py,python,28,0,0,0,0,0,0,0,0,0,196:9
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20241002083752.py,python,15,0,0,0,0,0,0,0,0,0,75:25
122073636,projects/0/122073636-efb1d11e5abfa569c53b5b865d956bb8ee4bec95/developersociety-serverless-template-efb1d11/{{cookiecutter.project_slug}}/fabfile.py,python,5,0,0,0,0,0,0,0,0,0,5:63
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20241014151908.py,python,31,0,0,0,0,0,0,0,0,0,192:5
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20240930143741.py,python,8,0,0,0,0,0,0,0,0,0,25:31
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/test4_20241017155006.py,python,0,0,0,0,0,0,0,0,0,0,15:36
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/test3_20240909140513.py,python,0,0,0,0,0,0,0,0,0,0,21:1
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20240925092217.py,python,6,0,0,0,0,0,0,0,0,0,31:21
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20241010141326.py,python,28,0,0,0,0,0,0,0,0,0,195:5
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/test2_20240820144154.py,python,2,0,0,0,0,0,0,0,0,0,23:2
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/test1_20240901114501.py,python,1,0,0,0,0,0,0,0,0,0,24:35
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20241002084316.py,python,17,0,0,0,0,0,0,0,0,0,85:17
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/Scrabble_20241017145212.py,python,80,0,0,0,0,0,0,0,0,0,257:17
844607287,projects/0/844607287-74f7e05d49cd35e9826228a4e839fa06f040f91d/philippbogdan-Scrabble-NEA-74f7e05/.history/dawg_20240925092945.py,python,6,0,0,0,0,0,0,0,0,0,35:13
