id,name,language,functions,functions_with_kw,keywords/builtins.json,keywords/from_import.json,keywords/global.json,keywords/globals.json,keywords/import.json,keywords/inspect.json,keywords/locals.json,keywords/nonlocal.json,parse_error
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/wtforms/meta.py,python,6,1,0,1,0,0,0,0,0,0,none
33257894,imp_projects4/0/33257894-88424361ede6d9215835cd839cc51b02e5771ff7/BrainTech-pisak-8842436/pisak/style.py,python,6,0,0,0,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/ntpath.py,python,22,1,0,0,0,0,1,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/flask_security/utils.py,python,66,2,0,0,0,0,2,0,0,0,none
601906241,imp_projects4/0/601906241-38385e8e4cf465dffe7e0db7f5e1246d171a9e08/chrishamblin7-circuit_explorer-38385e8/lucent_circuit/modelzoo/inceptionv1/InceptionV1.py,python,3,0,0,0,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/paramiko/kex_ecdh_nist.py,python,6,0,0,0,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/docutils/transforms/universal.py,python,14,0,0,0,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/nacl/hashlib.py,python,10,0,0,0,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/pygments/lexers/smalltalk.py,python,0,0,0,0,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/pygments/lexers/ml.py,python,4,0,0,0,0,0,0,0,0,0,none
332163207,imp_projects4/0/332163207-deb8d3cccdd36e5f2eb3e66fdae139628f26edb5/derick-droid-apractial-introductory-projects-deb8d3c/Miscellaneous Topics/introduction/exercise/no9/no9.py,python,0,0,0,0,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/paramiko/kex_group1.py,python,6,0,0,0,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/pygments/styles/solarized.py,python,1,0,0,0,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/pygments/styles/xcode.py,python,0,0,0,0,0,0,0,0,0,0,none
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/_vendor/importlib_metadata/_text.py,python,10,0,0,0,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/ldap3/extend/novell/getBindDn.py,python,2,0,0,0,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/pip/_internal/req/req_set.py,python,7,0,0,0,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/click/testing.py,python,20,0,0,0,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/pytz/tzfile.py,python,3,0,0,0,0,0,0,0,0,0,none
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/pip/_vendor/chardet/charsetprober.py,python,10,0,0,0,0,0,0,0,0,0,none
305534172,imp_projects4/0/305534172-3c4b183f032f925689d300670cad691572ea4bf0/juank-dev-holbertonschool-web_back_end-3c4b183/0x0A-i18n/1-app.py,python,1,0,0,0,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/virtualenv/report.py,python,2,0,0,0,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/concurrent/futures/process.py,python,29,3,0,0,2,0,1,0,0,0,none
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/_distutils/command/py37compat.py,python,2,1,0,1,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/flask_babelex/_compat.py,python,0,0,0,0,0,0,0,0,0,0,none
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/pip/_vendor/rich/layout.py,python,26,1,0,1,0,0,0,0,0,0,none
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/pip/_vendor/distro/distro.py,python,56,0,0,0,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/lib2to3/fixes/fix_throw.py,python,1,0,0,0,0,0,0,0,0,0,none
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/pip/_internal/utils/_log.py,python,3,0,0,0,0,0,0,0,0,0,none
549346379,imp_projects4/0/549346379-75337b750cbb278c6423903297bf243d4daa351d/sawaiyutaka-TTC2022-75337b7/exploratory/6a_binary_concat.py,python,0,0,0,0,0,0,0,0,0,0,none
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021/star-eyes-student_edit-73991d3/成绩管理系统1/schema/pgsql/pgAdmin 4/venv/Lib/site-packages/pygments/styles/friendly.py,python,0,0,0,0,0,0,0,0,0,0,none
770928505,imp_projects4/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c/epfl-cs358-2024sp-exoskeleton-9b13aa3/pvenv/Lib/site-packages/setuptools/config/_validate_pyproject/extra_validations.py,python,1,0,0,0,0,0,0,0,0,0,none
